1,375,419,929
1,378,405,949
1,444,393,944
1,371,449,915
1,441,399,897
1,360,436,877
1,386,357,925
1,377,425,910
1,384,366,920
1,412,387,901
1,450,438,893
1,377,391,856
1,408,403,871
1,356,433,914
1,360,398,900
1,405,385,857
1,433,422,876
1,449,365,861
1,439,399,911
1,357,383,870
1,354,401,850
1,416,378,883
1,393,450,879
1,380,360,901
1,388,372,877
1,411,419,891
1,353,372,919
1,393,352,945
1,353,375,899
1,409,450,857
1,351,353,891
1,396,400,941
1,375,364,877
1,406,360,859
1,376,446,862
1,352,382,878
1,366,411,933
1,350,450,906
1,408,408,856
1,393,432,931
1,382,432,925
1,394,370,857
1,421,420,851
1,426,396,926
1,366,377,862
1,403,432,916
1,357,427,893
1,367,393,924
1,432,384,940
1,371,371,898
1,442,410,870
1,397,414,867
1,441,445,906
1,397,377,859
1,388,424,900
1,379,435,909
1,384,422,870
1,386,406,917
1,429,427,898
1,447,396,884
1,404,420,926
1,448,443,882
1,434,428,897
1,438,425,879
1,433,434,874
1,397,353,907
1,422,369,871
1,371,427,933
1,363,449,883
1,367,384,915
1,445,373,946
1,444,380,931
1,406,360,919
1,441,350,870
1,391,355,942
1,436,377,936
1,350,356,865
1,392,386,857
1,397,398,855
1,351,435,876
1,380,441,941
1,430,361,905
1,406,375,914
1,403,359,926
1,407,372,892
1,381,427,863
1,438,433,864
1,420,358,900
1,401,388,901
1,425,353,886
1,428,439,890
1,359,396,922
1,429,388,949
1,446,424,864
1,407,422,944
1,369,433,872
1,360,360,886
1,395,353,889
1,368,389,911
1,377,399,913
1,396,426,937
1,351,434,929
1,364,447,866
1,443,404,895
1,442,372,876
1,419,392,902
1,441,356,850
1,449,374,949
1,384,389,883
1,382,431,870
1,435,372,857
1,373,357,863
1,356,448,862
1,405,370,887
1,403,397,912
1,435,355,904
1,428,423,900
1,449,417,870
1,388,379,883
1,375,426,877
1,429,436,916
1,364,432,896
1,438,444,896
1,444,388,936
1,367,366,895
1,398,391,915
1,420,427,863
1,392,441,915
1,427,389,871
1,426,355,927
1,447,429,937
1,371,352,921
1,446,388,936
1,391,410,873
1,376,421,936
1,353,378,915
1,424,441,906
1,415,411,860
1,359,428,898
1,404,383,881
1,411,388,927
1,422,400,888
1,436,403,920
1,362,446,887
1,398,354,868
1,374,390,948
1,396,406,925
1,359,407,905
1,394,401,893
1,415,400,948
1,447,443,906
1,379,402,877
1,375,396,890
1,430,391,937
1,421,387,950
1,359,429,896
1,377,396,868
1,442,420,860
1,361,367,907
1,433,422,933
1,432,379,907
1,394,394,916
1,386,376,917
1,351,360,924
1,409,400,949
1,444,353,880
1,368,370,889
1,392,416,926
1,437,353,890
1,417,410,937
1,356,400,901
1,432,443,872
1,450,404,850
1,436,422,893
1,431,440,933
1,370,403,850
1,414,445,866
1,434,423,924
1,397,380,928
1,393,367,898
1,359,424,897
1,439,383,885
1,384,402,919
1,365,376,892
1,446,419,863
1,441,409,910
1,448,372,887
1,381,366,868
1,417,364,873
1,352,433,882
1,438,386,938
1,396,409,891
1,377,385,880
1,415,389,909
1,430,434,858
1,424,395,941
1,366,442,898
1,429,438,937
1,440,440,940
1,428,415,875
